para_name_old;para_name_new
p;p
pmax;pmax
pmin;pmin
t7;tl_i_mittel
t14;tl_ii_mittel
t19;tl_iii_mittel
t;tl_mittel
mtmax;tlmax_mittel
mtmin;tlmin_mittel
tmax;tlmax
tmin;tlmin
e7;dampf_i_mittel
e14;dampf_ii_mittel
e19;dampf_iii_mittel
e;dampf_mittel
rel7;rf_i_mittel
rel14;rf_ii_mittel
rel19;rf_iii_mittel
rel;rf_mittel
b7;bewm_i_mittel
b14;bewm_ii_mittel
b19;bewm_iii_mittel
b;bewm_mittel
rsum;rr
rmax;rr_max
s;so_h
sp;so_r
n01;tage_rr_01
n1;tage_rr_1
n5;tage_rr_5
n10;tage_rr_10
schfall;tage_schfall
schreg;tage_schreg
schdeck;tage_schdecke
hagel;tage_hagel
graupel;tage_graupel
reif;tage_reif
tau;tage_tau
raureif;tage_raureif
nebel;tage_nebel
gew;tage_gew
w6;tage_w6
w8;tage_w8
heit;tage_heit
trueb;tage_trueb
frost;tage_frost
eis;tage_eis
sommer;tage_sommer
tropen;tage_tropen
festrr;tage_festrr
festrrp;tage_festrrp
schmax;sh_manu_max
tk0;tage_tl_mittel_k0
tk1;tage_tl_mittel_k1
tk2;tage_tl_mittel_k2
tk3;tage_tl_mittel_k3
tk4;tage_tl_mittel_k4
tk5;tage_tl_mittel_k5
tk6;tage_tl_mittel_k6
tk7;tage_tl_mittel_k7
tk8;tage_tl_mittel_k8
tk9;tage_tl_mittel_k9
tk10;tage_tl_mittel_k10
temp25;tage_tl_mittel_25
temp20;tage_tl_mittel_20
temp15;tage_tl_mittel_15
temp10;tage_tl_mittel_10
tempn5;tage_tl_mittel_m5
rk1;tage_rr_k1
rk2;tage_rr_k2
rk3;tage_rr_k3
rk4;tage_rr_k4
rk5;tage_rr_k5
rk6;tage_rr_k6
sch1;tage_sh_manu_1
sch5;tage_sh_manu_5
sch15;tage_sh_manu_15
sch20;tage_sh_manu_20
sch30;tage_sh_manu_30
sch50;tage_sh_manu_50
sch100;tage_sh_manu_100
ddn;tage_ddn
ddne;tage_ddne
dde;tage_dde
ddse;tage_ddse
dds;tage_dds
ddsw;tage_ddsw
ddw;tage_ddw
ddnw;tage_ddnw
ddc;tage_ddc
vv;vv_mittel
tmaxt;tag_tlmax
tmint;tag_tlmin
rmaxt;tag_rr_max
global;cglo_j
ht;tage_ht
gradt;gradt
schoenw;tage_schoenw
stFrost;tage_stfrost
t5min;tsmin
t5mint;tag_tsmin
t5m;tsmin_mittel
gras0 ;gras0 
maxgras;gras0_max
tmaxgras;tag_gras0_max
mingras;gras0_min
tmingras;tag_gras0_min
bet0;bet0
maxbet;bet0_max
tmaxbet;tag_bet0_max
minbet;bet0_min
tminbet;tag_bet0_min
e2;tb2_mittel
maxe2;tb2_max
tmaxe2;tag_tb2_max
mine2;tb2_min
tmine2;tag_tb2_min
e5;tb5_mittel
maxe5;tb5_max
tmaxe5;tag_tb5_max
mine5;tb5_min
tmine5;tag_tb5_min
e10;tb10_mittel
maxe10;tb10_max
tmaxe10;tag_tb10_max
mine10;tb10_min
tmine10;tag_tb10_min
e15;tb15_mittel
maxe15;tb15_max
tmaxe15;tag_tb15_max
mine15;tb15_min
tmine15;tag_tb15_min
e20;tb20_mittel
maxe20;tb20_max
tmaxe20;tag_tb20_max
mine20;tb20_min
tmine20;tag_tb20_min
e30;tb30_mittel
maxe30;tb30_max
tmaxe30;tag_tb30_max
mine30;tb30_min
tmine30;tag_tb30_min
e40;tb40_mittel
maxe40;tb40_max
tmaxe40;tag_tb40_max
mine40;tb40_min
tmine40;tag_tb40_min
e50;tb50_mittel
maxe50;tb50_max
tmaxe50;tag_tb50_max
mine50;tb50_min
tmine50;tag_tb50_min
e70;tb70_mittel
maxe70;tb70_max
tmaxe70;tag_tb70_max
mine70;tb70_min
tmine70;tag_tb70_min
e100;tb100_mittel
maxe100;tb100_max
tmaxe100;tag_tb100_max
mine100;tb100_min
tmine100;tag_tb100_min
e110;tb110_mittel
maxe110;tb110_max
tmaxe110;tag_tb110_max
mine110;tb110_min
tmine110;tag_tb110_min
e200;tb200_mittel
maxe200;tb200_max
tmaxe200;tag_tb200_max
mine200;tb200_min
tmine200;tag_tb200_min
sonn0;tage_so_h_0
sonn1;tage_so_h_1
sonn5;tage_so_h_5
sonn10;tage_so_h_10
sicht0;tage_sicht_k0
sicht1;tage_sicht_k1
sicht2;tage_sicht_k2
sicht3;tage_sicht_k3
sicht4;tage_sicht_k4
sicht5;tage_sicht_k5
sicht6;tage_sicht_k6
r15;tage_rr_15
r20;tage_rr_20
r30;tage_rr_30
temp5;tage_tl_mittel_k16
sch10;tage_sh_manu_k10
nsch;shneu_manu
nschmax;shneu_manu_max
nschmaxt;tag_shneu_manu_max
v60;tage_ffx_60
v70;tage_ffx_70
v80;tage_ffx_80
v100;tage_ffx_100
schwuel;tage_schwuel
eschwuel;tage_eschwuel
rsum7;rr_i
rsum19;rr_iii
absF;absf_mittel
absFmax;absf_max
absFmaxt;tag_absf_max
absFmin;absf_min
absFmint;tag_absf_min
misch;misch 
Feuchtt;feuchtt
Tautemp;tp_mittel
Enth;enth
Aequi;aequi
Efftemp;efftemp
sicht3a;tage_sicht_k7
